MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932821,0.2140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.6640000,0.0477561,-0.0089096,-0.2144142
MsgID.LOCAL_VELOCITY,25.6640000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932819,0.1840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.9140000,0.0245701,-0.0092201,-0.1849266
MsgID.LOCAL_VELOCITY,25.9140000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,True
MsgID.GLOBAL_HOME,0.0000000,-122.3957514,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932816,0.1520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.1640000,-0.0142673,-0.0094995,-0.1522240
MsgID.LOCAL_VELOCITY,26.1640000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957522,37.7932830,0.1160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.4140000,0.1445683,-0.0706149,-0.1168859
MsgID.LOCAL_VELOCITY,26.4140000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957529,37.7932831,0.0930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.6640000,0.1591331,-0.1357246,-0.0933511
MsgID.LOCAL_VELOCITY,26.6640000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932824,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.9140000,0.0822667,-0.0500223,-0.0824997
MsgID.LOCAL_VELOCITY,26.9140000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,True
MsgID.GLOBAL_HOME,0.0000000,-122.3957514,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957522,37.7932806,0.0860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.1640000,-0.1216021,-0.0715462,-0.0860818
MsgID.LOCAL_VELOCITY,27.1640000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957528,37.7932823,0.1000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.4150000,0.0661238,-0.1278394,-0.1000822
MsgID.LOCAL_VELOCITY,27.4150000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957501,37.7932827,0.1160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.6650000,0.1088094,0.1159185,-0.1169133
MsgID.LOCAL_VELOCITY,27.6650000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957521,37.7932810,0.1280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.9150000,-0.0749197,-0.0647889,-0.1285029
MsgID.LOCAL_VELOCITY,27.9150000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,True
MsgID.GLOBAL_HOME,0.0000000,-122.3957514,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957525,37.7932818,0.1310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.1650000,0.0123465,-0.1048772,-0.1317004
MsgID.LOCAL_VELOCITY,28.1650000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932820,0.1260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.4150000,0.0353126,-0.0096961,-0.1268811
MsgID.LOCAL_VELOCITY,28.4150000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932805,0.1150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.6650000,-0.1325969,-0.0089096,-0.1152029
MsgID.LOCAL_VELOCITY,28.6650000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932816,0.1030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.9150000,-0.0067650,-0.0090442,-0.1039336
MsgID.LOCAL_VELOCITY,28.9150000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,True
MsgID.GLOBAL_HOME,0.0000000,-122.3957514,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957516,37.7932819,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.1650000,0.0202304,-0.0173640,-0.0960419
MsgID.LOCAL_VELOCITY,29.1650000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932817,0.0980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.4150000,0.0000517,0.1175328,-0.0980243
MsgID.LOCAL_VELOCITY,29.4150000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957514,37.7932816,0.1120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.6650000,-0.0039258,-0.0009313,-0.1123379
MsgID.LOCAL_VELOCITY,29.6650000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957518,37.7932808,0.1340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.9150000,-0.0925501,-0.0342830,-0.1341418
MsgID.LOCAL_VELOCITY,29.9150000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,True
MsgID.GLOBAL_HOME,0.0000000,-122.3957514,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932800,0.1650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.1650000,-0.1892588,-0.0089096,-0.1655336
MsgID.LOCAL_VELOCITY,30.1650000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932805,0.1930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.4150000,-0.1302557,-0.0138250,-0.1936009
MsgID.LOCAL_VELOCITY,30.4150000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957518,37.7932819,0.2190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.6650000,0.0228950,-0.0350798,-0.2196138
MsgID.LOCAL_VELOCITY,30.6650000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957501,37.7932816,0.2330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.9160000,-0.0119520,0.1146043,-0.2337326
MsgID.LOCAL_VELOCITY,30.9160000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,True
MsgID.GLOBAL_HOME,0.0000000,-122.3957514,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957506,37.7932801,0.2410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.1660000,-0.1779471,0.0702630,-0.2412776
MsgID.LOCAL_VELOCITY,31.1660000,0.0000000,0.0000000,-0.0000000
